,Concentration,Survival_A,Survival_B,SAM,Stress_A,Stress_B,exp_name,path
0,1e-06,0.933303952471988,0.5737780490510954,0.49483399441105924,0.21903607651494114,0.4618363318692808,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
1,1.0014978786355762e-06,0.9333039182526532,0.5737754135304111,0.49483391556320355,0.21903611712974744,0.46183770691219556,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
2,1.0029980009115592e-06,0.9333038839934602,0.5737727762803543,0.49483383662353064,0.21903615779184937,0.46183908285610553,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
3,1.0045003701886503e-06,0.9333038496943621,0.5737701372998011,0.49483375759193193,0.21903619850130254,0.4618404597015946,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
4,1.0060049898325864e-06,0.9333038153553131,0.5737674965876245,0.49483367846830295,0.21903623925816115,0.46184183744924834,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
5,1.0075118632141395e-06,0.9333037809762664,0.573764854142699,0.4948335992525347,0.21903628006248094,0.46184321609965145,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
6,1.0090209937091375e-06,0.9333037465571747,0.5737622099638965,0.49483351994451885,0.21903632091431782,0.4618445956533901,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
7,1.0105323846984622e-06,0.9333037120979928,0.5737595640500888,0.49483344054415146,0.21903636181372554,0.4618459761110503,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
8,1.01204603956806e-06,0.9333036775986725,0.5737569164001481,0.49483336105132114,0.21903640276076114,0.4618473574732181,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
9,1.0135619617089485e-06,0.9333036430591686,0.573754267012943,0.4948332814659243,0.2190364437554783,0.46184873974048124,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
10,1.015080154517227e-06,0.9333036084794331,0.5737516158873448,0.4948332017878504,0.21903648479793392,0.4618501229134261,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
11,1.0166006213940757e-06,0.933303573859419,0.573748963022222,0.49483312201699037,0.2190365258881837,0.46185150699264055,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
12,1.0181233657457752e-06,0.9333035391990798,0.5737463084164431,0.4948330421532382,0.2190365670262828,0.46185289197871243,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
13,1.0196483909837067e-06,0.9333035044983696,0.5737436520688751,0.4948329621964881,0.21903660821228574,0.4618542778722303,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
14,1.0211757005243608e-06,0.9333034697572395,0.573740993978386,0.49483288214662713,0.21903664944625045,0.4618556646737824,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
15,1.0227052977893458e-06,0.9333034349756435,0.5737383341438402,0.49483280200354895,0.21903669072823156,0.4618570523839586,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
16,1.024237186205397e-06,0.933303400153535,0.5737356725641045,0.494832721767147,0.21903673205828428,0.46185844100334755,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
17,1.025771369204377e-06,0.933303365290865,0.5737330092380427,0.49483264143730843,0.21903677343646663,0.46185983053253965,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
18,1.0273078502232938e-06,0.9333033303875883,0.5737303441645193,0.4948325610139287,0.21903681486283236,0.4618612209721248,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
19,1.028846632704303e-06,0.9333032954436562,0.5737276773423975,0.494832480496896,0.21903685633743913,0.46186261232269343,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
20,1.0303877200947153e-06,0.9333032604590218,0.57372500877054,0.49483239988610217,0.21903689786034264,0.46186400458483656,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
21,1.0319311158470051e-06,0.9333032254336376,0.5737223384478073,0.49483231918143844,0.21903693943159913,0.4618653977591461,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
22,1.0334768234188208e-06,0.9333031903674558,0.5737196663730623,0.4948322383827939,0.21903698105126543,0.4618667918462127,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
23,1.035024846272983e-06,0.9333031552604303,0.5737169925451637,0.4948321574900627,0.21903702271939612,0.46186818684662934,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
24,1.0365751878775056e-06,0.9333031201125122,0.5737143169629724,0.49483207650313243,0.2190370644360492,0.4618695827609879,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
25,1.0381278517055958e-06,0.9333030849236538,0.573711639625346,0.4948319954218935,0.2190371062012812,0.46187097958988166,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
26,1.0396828412356622e-06,0.9333030496938082,0.5737089605311434,0.49483191424623696,0.21903714801514781,0.4618723773339035,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
27,1.0412401599513243e-06,0.9333030144229275,0.5737062796792215,0.49483183297605426,0.21903718987770576,0.46187377599364726,Food_1% + Prochloraz_1,data/naeem_Esfenvalerate_2019.xlsx
