Concentration,Survival_A,Survival_B,SAM,EA,CA,LC_SAM_Concentration,LC_SAM_Survival,Stress_A,Stress_B
1e-05,0.9331572303193928,0.8888265483941102,0.8658014843117086,0.8887211760176608,0.8888626237877498,0.0008853169785952198,0.8000000010000001,0.03142638091357382,0.19417125529936102
1.1364553952688665e-05,0.933138811454095,0.8888185862304283,0.8649667921517619,0.8887036342411022,0.8888590400530161,0.07932827976623283,0.444444445,0.032436213707028046,
1.2915308654357155e-05,0.9331184663807796,0.8888096072026569,0.8640986949379686,0.8886842579807083,0.8888549674241311,,,0.033479088557123324,
1.4677672201806872e-05,0.9330959937229516,0.8887994814585773,0.8631956607242326,0.8886628554493404,0.8888503392254984,,,0.03455612604253058,
1.668051976373128e-05,0.9330711710648524,0.8887880625676949,0.8622560763570678,0.8886392148224652,0.8888450796939527,,,0.03566848735814889,
1.8956666681381334e-05,0.9330437527563616,0.8887751854056865,0.8612782426207245,0.8886131021475863,0.8888391027418129,,,0.0368173759557572,
2.1543406126369375e-05,0.9330134674895455,0.8887606637691612,0.8602603690691782,0.8885842590361938,0.8888323105520634,,,0.03800403926099721,
2.4483120124780825e-05,0.9329800156232423,0.8887442876864021,0.8592005685246001,0.8885524001157513,0.8888245919829935,,,0.039229770470499165,
2.7823973958822932e-05,0.9329430662296636,0.8887258203854802,0.8580968512202275,0.8885172102169353,0.8888158207566549,,,0.040495910433701626,
3.162070532332476e-05,0.9329022538343551,0.8887049948761586,0.8569471185648736,0.8884783412688351,0.8888058534020586,,,0.0418038496234425,
3.593552116689939e-05,0.932857174817939,0.8886815100965879,0.8557491565044133,0.8884354088720412,0.8887945269202142,,,0.04315503020029938,
4.083911691192137e-05,0.9328073834448781,0.8886550265695174,0.854500628454581,0.8883879885165166,0.8887816561337797,,,0.04455094817548341,
4.641183475256895e-05,0.9327523874809949,0.8886251615059085,0.8531990677777893,0.8883356114078038,0.8887670306792147,,,0.0459931556776112,
5.274498000888406e-05,0.9326916433576548,0.8885914832858878,0.8518418697757635,0.8882777598614867,0.8887504115938647,,,0.047483263328402636,
5.9942317104444784e-05,0.9326245508362913,0.8885535052383148,0.8504262831674856,0.8882138622217848,0.888731527444236,,,0.04902294273361643,
6.812176967826353e-05,0.932550447122393,0.8885106786303099,0.8489494010217046,0.8881432872558271,0.8887100699348675,,,0.050613929094542355,
7.741735268612566e-05,0.9324686003730036,0.8884623847670368,0.8474081511108589,0.8880653379703185,0.8886856889294678,,,0.05225802394682786,
8.798136814758018e-05,0.9323782025363392,0.8884079260896696,0.8457992856529172,0.8879792447921279,0.888657986807418,,,0.05395709803268713,
9.998690051445389e-05,0.9322783614561201,0.888346516145498,0.8441193704058573,0.8878841580486035,0.8886265120691843,,,0.05571309431350579,
0.0001136306525458624,0.9321680921667148,0.8882772682886646,0.8423647730788082,0.8877791396772351,0.8885907520935787,,,0.05752803112979175,
0.00012913616815366728,0.9320463072981319,0.8881991829524937,0.8405316510232116,0.8876631540875493,0.8885501249380963,,,0.05940400551556616,
0.00014675749502258276,0.9319118065022106,0.8881111333150677,0.8386159381665874,0.8875350580908161,0.8885039700606946,,,0.061343196674801675,
0.00016678334701455781,0.9317632648030777,0.888011849157869,0.8366133311515624,0.8873935898052455,0.8884515378272687,,,0.06334786962749014,
0.0001895418345556938,0.9315992197660004,0.8878998986932216,0.8345192746433028,0.8872373564358472,0.8883919776537423,,,0.06542037903293449,
0.0002154058405099771,0.9314180573691072,0.887773668109356,0.8323289457689432,0.8870648208189267,0.8883243246151316,,,0.0675631731984179,
0.00024479912961998843,0.931217996452164,0.8876313385520318,0.8300372376547127,0.8868742866113953,0.8882474843362075,,,0.06977879828095265,
0.0002782032916137584,0.9309970716055538,0.8874708602286336,0.8276387420286849,0.8866638819945617,0.8881602159595551,,,0.07206990269005473,
0.0003161656317360132,0.9307531143509215,0.8872899232841155,0.8251277308607811,0.8864315417509345,0.8880611129671849,,,0.07443924169923363,
0.00035930813798498175,0.9304837324525601,0.8870859250579433,0.8224981370164004,0.886174987560782,0.8879485816115703,,,0.07688968227377573,
0.00040833767197704285,0.9301862871856617,0.8868559332870731,0.8197435339067127,0.8858917063528462,0.8878208166915924,,,0.07942420812182241,
0.0004640575504098385,0.9298578683740409,0.8865966447717861,0.8168571141268846,0.885578926530747,0.8876757743888243,,,0.08204592497532932,
0.000527380706878515,0.929495266996022,0.8863043389687727,0.8138316670841431,0.8852335918833497,0.8875111418607222,,,0.0847580661067484,
0.0005993446496927969,0.9290949451430535,0.8859748259193424,0.8106595556312151,0.8848523329739224,0.8873243032704717,,,0.08756399808606684,
0.0006811284607689078,0.9286530031014206,0.8856033878598478,0.807332691737007,0.8844314357893855,0.8871123019197306,,,0.09046722678184367,
0.0007740721141120036,0.9281651433135943,0.8851847137970953,0.803842511247255,0.8839668074177871,0.8868717981416666,,,0.093471403607947,
0.0008796984304097633,0.9276266309625661,0.8847128262637914,0.8001799478128152,0.8834539385095731,0.8865990226092713,,,0.09658033201581784,
0.0009997380274487289,0.9270322509105726,0.8841809993992349,0.7963354060938919,0.88288786226685,0.8862897247198221,,,0.09979797422946626,
0.0011361576751495622,0.9263762607135126,0.8835816674295995,0.792298734385398,0.8822631096952093,0.8859391157327176,,,0.1031284582173194,
0.0012911925197998505,0.925652339424975,0.8829063225524141,0.7880591968531077,0.8815736608456589,0.8855418063669508,,,0.10657608489118747,
0.0014673827054573429,0.9248535319001082,0.8821454011638418,0.7836054456233282,0.8808128917706891,0.8850917386084484,,,0.11014533551809763,
