Concentration,Survival_A,Survival_B,SAM,EA,CA,LC_SAM_Concentration,LC_SAM_Survival,Stress_A,Stress_B
1e-07,0.9333284295548752,0.5161356654360416,0.5151141730084121,0.5333305297456504,0.5333332633426839,7.825820507772386e-06,0.47999999700000007,0.010145656031528928,0.46306163570436115
1.1905685744264687e-07,0.9333277175030504,0.515244168710933,0.5143184688230817,0.5333301228588946,0.5333332506398958,0.005019418051489225,0.266666665,0.010587515940615133,
1.4174535304118741e-07,0.9333269019880596,0.5143074728578982,0.5134877316858475,0.5333296568503296,0.5333332355163561,,,0.011048733044626256,
1.6875756290182336e-07,0.9333259679765511,0.5133233949774667,0.5126203961332392,0.533329123129469,0.5333332175107465,,,0.01153016557377934,
2.0091745108770896e-07,0.9333248982508501,0.5122896584405795,0.5117148249738769,0.5333285118576415,0.5333331960738347,,,0.01203271073440347,
2.3920600331889344e-07,0.9333236730915901,0.5112038901488754,0.5107693058806455,0.5333278117666378,0.5333331705517232,,,0.01255730656418076,
2.847911503656281e-07,0.933322269914246,0.5100636178677822,0.5097820478211426,0.5333270099510147,0.5333331401659027,,,0.013104933880294661,
3.390633939000806e-07,0.9333206628528561,0.5088662676562143,0.5087511773081834,0.5333260916302229,0.5333331039895032,,,0.013676618331829194,
4.036782215158192e-07,0.9333188222832741,0.5076091614195408,0.5076747344690413,0.5333250398761789,0.533333060919025,,,0.014273432558640732,
4.806066047171012e-07,0.9333167142771679,0.5062895146155852,0.5065506689244449,0.5333238353012643,0.5333330096406755,,,0.014896498463469734,
5.721951202379845e-07,0.9333142999767047,0.5049044341467457,0.5053768354669785,0.5333224557010032,0.5333329485902957,,,0.015546989605167209,
6.812375285955205e-07,0.9333115348784045,0.5034509164749306,0.5041509895299287,0.5333208756448359,0.5333328759056487,,,0.016226133720543177,
8.110599932657795e-07,0.9333083680129783,0.5019258459998693,0.5028707824400229,0.5333190660074544,0.5333327893696157,,,0.01693521538148371,
9.656225399567805e-07,0.9333047410060458,0.5003259937454667,0.5015337564432425,0.53331699343207,0.5333326863425679,,,0.01767557879690421,
1.14963985083041e-06,0.9333005870024462,0.4986480164032922,0.5001373394975557,0.5333146197157337,0.5333325636818501,,,0.018448630767169176,
1.3687250783070222e-06,0.93329582943433,0.496888455786936,0.4986788398183621,0.5333119011053888,0.5333324176459214,,,0.01925584380382324,
1.6295610652617481e-06,0.9332903806103854,0.4950437387558898,0.49715544017746965,0.5333087874917145,0.5333322437802299,,,0.020098759420041044,
1.9401041944095574e-06,0.9332841401002192,0.4931101776727905,0.4955641919375646,0.5333052214859149,0.5333320367813362,,,0.020978991608669645,
2.3098270849769994e-06,0.9332769928841991,0.49108397146323435,0.4939020088228503,0.5333011373624857,0.5333317903351507,,,0.021898230515573092,
2.7500075397327117e-06,0.9332688072347314,0.4889612073529966,0.4921656604156762,0.5332964598485167,0.5333314969243383,,,0.022858246323396704,
3.274072556241622e-06,0.9332594322900446,0.4867378633632152,0.4903517653757459,0.5332911027372815,0.5333311475990316,,,0.02386089335874051,
3.898007895853412e-06,0.9332486952758966,0.484409811650003,0.48845678437576723,0.5332849673006419,0.5333307317038453,,,0.02490811443913355,
4.640845703669316e-06,0.933236398324214,0.48197282278088127,0.48647701275538185,0.5332779404711279,0.5333302365528806,,,0.02600194547398605,
5.5252450535507915e-06,0.9332223148302712,0.4794225710463306,0.4844085728904983,0.5332698927603249,0.5333296470428003,,,0.02714452033886965,
6.578183126762863e-06,0.9332061852816241,0.47675464091061975,0.4822474062842339,0.5332606758754084,0.5333289451921805,,,0.028338076040422037,
7.831778107546313e-06,0.93318771248236,0.47396453471164207,0.4799892653841897,0.5332501199901429,0.533328109593094,,,0.02958495819346518,
9.324268896725842e-06,0.9331665560852531,0.47104768172480266,0.47762970514023895,0.5332380306204,0.5333271147582067,,,0.030887626830723942,
1.1101181527943946e-05,0.9331423263318139,0.4679994487107926,0.47516407431739616,0.5332241850470432,0.5333259303434846,,,0.03224866257001378,
1.3216717866173672e-05,0.9331145768859009,0.4648151520712377,0.4725875065893356,0.5332083282208496,0.5333245202228181,,,0.03367077316312809,
1.573540894852726e-05,0.9330827966301568,0.4614900717395103,0.46989491144274625,0.5331901680747588,0.5333228413863697,,,0.035156800454458736,
1.87340833998656e-05,0.9330464002758522,0.4580194669362346,0.46708096493406986,0.533169370158069,0.5333208426290712,,,0.03670972777848148,
2.2304210966564607e-05,0.933004717615413,0.45439859391990245,0.46414010035137665,0.5331455514950247,0.5333184629893313,,,0.03833268782762828,
2.6554692654170037e-05,0.9329569812226169,0.45062272586233165,0.46106649884728607,0.5331182735563572,0.5333156298903916,,,0.04002897102478062,
3.161518257760824e-05,0.9329023123777977,0.44668717497604266,0.4578540801255996,0.5330870342165441,0.533312256927763,,,0.04180203443698244,
3.764004285165557e-05,0.9328397049639601,0.4425873170157279,0.45449649328446656,0.5330512585515899,0.5333082412353926,,,0.043655511269322676,
4.481305215924677e-05,0.9327680070439412,0.43831861826843516,0.4509871079407798,0.5330102883116888,0.5333034603504521,,,0.04559322098157323,
5.335301162493342e-05,0.9326858997882155,0.43387666513644135,0.4473190057897536,0.5329633698799713,0.5332977684814217,,,0.0476191800722489,
6.35204189916558e-05,0.9325918733769489,0.42925719640270665,0.4434849727858008,0.5329096405022485,0.5332909920660784,,,0.04973761357821792,
7.562541468586778e-05,0.9324841994478702,0.42445613825072254,0.4394774921694223,0.5328481125429398,0.5332829244845223,,,0.05195296734132218,
