Concentration,Survival_A,Survival_B,SAM,EA,CA,LC_SAM_Concentration,LC_SAM_Survival,Stress_A,Stress_B
1e-05,0.9331572303193928,0.819964299600944,0.8115262325225988,0.8442851117178154,0.8444244470934231,0.0002913810846332406,0.7599999959999999,0.03142638091357382,0.24954597430690378
1.1364553952688665e-05,0.933138811454095,0.8187347089445354,0.8103783562824222,0.8442684470301932,0.8444217191066422,0.046403063335478806,0.4222222199999999,0.032436213707028046,
1.2915308654357155e-05,0.9331184663807796,0.8174446263114356,0.809187142958212,0.8442500395829389,0.8444186189160008,,,0.033479088557123324,
1.4677672201806872e-05,0.9330959937229516,0.8160912070457071,0.8079507578440374,0.8442297071782718,0.8444150957452874,,,0.03455612604253058,
1.668051976373128e-05,0.9330711710648524,0.8146714863698699,0.8066672775602101,0.8442072485828866,0.8444110918933966,,,0.03566848735814889,
1.8956666681381334e-05,0.9330437527563616,0.8131823757574442,0.805334685242649,0.8441824415419132,0.8444065417904933,,,0.0368173759557572,
2.1543406126369375e-05,0.9330134674895455,0.8116206593600889,0.8039508654538849,0.8441550405862688,0.8444013709257112,,,0.03800403926099721,
2.4483120124780825e-05,0.9329800156232423,0.8099829905135992,0.8025135988002857,0.8441247746120457,0.8443954946289385,,,0.039229770470499165,
2.7823973958822932e-05,0.9329430662296636,0.8082658883499444,0.8010205562388042,0.8440913442083882,0.8443888166869175,,,0.040495910433701626,
3.162070532332476e-05,0.9329022538343551,0.8064657345457119,0.7994692930567334,0.8440544187079334,0.8443812277711903,,,0.0418038496234425,
3.593552116689939e-05,0.932857174817939,0.8045787702407613,0.7978572425065596,0.844013632931245,0.8443726036524226,,,0.04315503020029938,
4.083911691192137e-05,0.9328073834448781,0.8026010931645594,0.7961817090779275,0.8439685835937899,0.8443628031722201,,,0.04455094817548341,
4.641183475256895e-05,0.9327523874809949,0.8005286550116792,0.7944398613879144,0.8439188253408368,0.8443516659396764,,,0.0459931556776112,
5.274498000888406e-05,0.9326916433576548,0.7983572591121725,0.7926287246710305,0.8438638663721936,0.84433900971552,,,0.047483263328402636,
5.9942317104444784e-05,0.9326245508362913,0.7960825584470681,0.7907451728488584,0.8438031636148722,0.8443246274418027,,,0.04902294273361643,
6.812176967826353e-05,0.932550447122393,0.7937000540640887,0.7887859201605999,0.8437361173976491,0.8443082838694669,,,0.050613929094542355,
7.741735268612566e-05,0.9324686003730036,0.7912050939537885,0.7867475123343641,0.8436620655768983,0.8442897117298559,,,0.05225802394682786,
8.798136814758018e-05,0.9323782025363392,0.7885928724516914,0.7846263172804914,0.8435802770581498,0.844268607389138,,,0.05395709803268713,
9.998690051445389e-05,0.9322783614561201,0.7858584302376961,0.7824185152878551,0.84348994465239,0.8442446259166125,,,0.05571309431350579,
0.0001136306525458624,0.9321680921667148,0.7829966550099002,0.780120088705311,0.8433901772002398,0.8442173754889266,,,0.05752803112979175,
0.00012913616815366728,0.9320463072981319,0.780002282916148,0.7777268110918488,0.8432799908907559,0.8441864110421279,,,0.05940400551556616,
0.00014675749502258276,0.9319118065022106,0.7768699008329164,0.7752342358203731,0.8431582996946521,0.8441512270722294,,,0.061343196674801675,
0.00016678334701455781,0.9317632648030777,0.7735939495876298,0.7726376841226515,0.8430239048242353,0.8441112494723296,,,0.06334786962749014,
0.0001895418345556938,0.9315992197660004,0.7701687282270533,0.769932232566212,0.8428754831242736,0.8440658262802913,,,0.06542037903293449,
0.0002154058405099771,0.9314180573691072,0.7665883994409908,0.7671126999572858,0.8427115742892666,0.8440142171953443,,,0.0675631731984179,
0.00024479912961998843,0.931217996452164,0.7628469962570481,0.7641736336694517,0.8425305667932909,0.8439555817046498,,,0.06977879828095265,
0.0002782032916137584,0.9309970716055538,0.7589384301285599,0.7611092954033976,0.8423306824086008,0.8438889656417432,,,0.07206990269005473,
0.0003161656317360132,0.9307531143509215,0.7548565005438834,0.7579136463909311,0.8421099591785924,0.8438132859777718,,,0.07443924169923363,
0.00035930813798498175,0.9304837324525601,0.7505949062909103,0.7545803320654108,0.841866232699535,0.8437273136234572,,,0.07688968227377573,
0.00040833767197704285,0.9301862871856617,0.7461472585157453,0.7511026662322301,0.8415971155537488,0.8436296539947851,,,0.07942420812182241,
0.0004640575504098385,0.9298578683740409,0.7415070957188327,0.7474736147863127,0.8412999747246899,0.84351872506857,,,0.08204592497532932,
0.000527380706878515,0.929495266996022,0.7366679008351502,0.7436857790397994,0.8409719068117992,0.8433927326253543,,,0.0847580661067484,
0.0005993446496927969,0.9290949451430535,0.7316231205472729,0.7397313787428006,0.8406097108502023,0.8432496423468785,,,0.08756399808606684,
0.0006811284607689078,0.9286530031014206,0.7263661869807579,0.7356022349027874,0.8402098585274966,0.8430871484039446,,,0.09046722678184367,
0.0007740721141120036,0.9281651433135943,0.7208905419302336,0.7312897525360537,0.839768461577353,0.842902638138481,,,0.093471403607947,
0.0008796984304097633,0.9276266309625661,0.7151896637613985,0.7267849035168538,0.8392812361177231,0.842693152411837,,,0.09658033201581784,
0.0009997380274487289,0.9270322509105726,0.7092570971285014,0.7220782097281796,0.8387434636906388,0.8424553411608756,,,0.09979797422946626,
0.0011361576751495622,0.9263762607135126,0.7030864856384462,0.7171597267630039,0.8381499487514457,0.8421854136758776,,,0.1031284582173194,
0.0012911925197998505,0.925652339424975,0.696671607580985,0.7120190284775182,0.8374949723486388,0.8418790830914302,,,0.10657608489118747,
0.0014673827054573429,0.9248535319001082,0.6900064148291211,0.7066451927592239,0.8367722417321247,0.8415315045659927,,,0.11014533551809763,
0.0016676149925412232,0.9239721883109004,0.6830850749944405,0.7010267889442569,0.8359748356289525,0.8411372066206289,,,0.11384087932520871,
0.0018951700555047235,0.9229998985923716,0.6759020168980754,0.6951518674012975,0.8350951449327241,0.8406900151163518,,,0.11766758127140886,
0.00215377623453034,0.9219274215555976,0.6684519793890311,0.6890079518951678,0.8341248085677606,0.8401829693770645,,,0.12163050995144262,
0.0024476706219338663,0.9207446084308383,0.660730063507187,0.6825820354538048,0.8330546443138364,0.8396082300164089,,,0.12573494558900628,
0.0027816684841378437,0.9194403206450259,0.6527317879479587,0.6758605805887,0.8318745744143834,0.8389569781079437,,,0.12998638806446788,
0.0031612421566478218,0.9180023416960733,0.6444531477391376,0.6688295248638089,0.8305735458437226,0.8382193054553504,,,0.13439056490980686,
0.0035926107046738006,0.9164172830657776,0.6358906759873334,0.6614742929721183,0.8291394451806431,0.8373840958797604,,,0.13895343918842035,
0.004082841818427225,0.9146704842184973,0.6270415084916643,0.6537798166650306,0.8275590081310155,0.8364388976515866,,,0.14368121715971213,
0.0046399676125809695,0.912745906869812,0.6179034509556789,0.6457305640883436,0.8258177238661032,0.835369787460907,,,0.14858035560793026,
0.005273116227190444,0.9106260238847101,0.6084750484550001,0.6373105803113466,0.8238997345018747,0.834161226648743,,,0.1536575686909183,
0.00599266138627039,0.9082917033860769,0.5987556567380906,0.6285035410928789,0.8217877302447795,0.832795910815172,,,0.15891983413693228,
0.006810392364446382,0.9057220889300289,0.5887455148512486,0.6192928222096467,0.8194628409789549,0.8312546143802324,,,0.16437439858609168,
0.007739707146472982,0.9028944769447597,0.5784458184871172,0.6096615869763671,0.8169045253775631,0.8295160321981543,,,0.17002878183676054,
0.008795831944410224,0.8997841930448378,0.5678587933595726,0.5995928949110758,0.8140904589966801,0.8275566209094574,,,0.17589077971576395,
0.009996070669103232,0.8963644693350227,0.5569877678080984,0.5890698348366088,0.8109964232644626,0.8253504433506551,,,0.1819684652443733,
0.011360088443391236,0.8926063254190463,0.5458372437332387,0.5780756860523912,0.8075961978224266,0.822869020017292,,,0.18827018771889675,
0.01291023380222347,0.8884784565420167,0.534412964863442,0.566594111546602,0.8038614593209562,0.8200811922820137,,,0.19480456926510434,
0.014671904858719354,0.883947133132293,0.5227219812548664,0.5546093875299865,0.7997616905286181,0.8169530027965769,,,0.20158049835919883,
0.016673965435563105,0.8789761169804808,0.5107727088323222,0.5421066738349045,0.795264104494111,0.8134475992513821,,,0.2086071197344777,
0.018949217979772268,0.8735266004075114,0.4985749826945574,0.5290723299048715,0.7903335895078607,0.8095251684324933,,,0.2158938200120939,
0.021534941009238,0.8675571760335997,0.48614010283408365,0.5154942811592284,0.7849326817501251,0.8051429083178987,,,0.22345020830677398,
0.024473499896745295,0.8610238461611017,0.4734808708645254,0.5013624404018886,0.779021573780246,0.8002550468152044,,,0.23128609096456695,
0.027813040998768208,0.8538800823121587,0.4606116163111212,0.486669188586298,0.7725581684040413,0.7948129166907874,,,0.239411439490884,
0.03160828050188431,0.8460769470872405,0.4475482110067931,0.4714099185701268,0.7654981889267732,0.7887650973030251,,,0.24783635062506135,
0.035921400911538136,0.8375632921844033,0.4343080701514539,0.4555836443962195,0.7577953583134278,0.7820576349439641,,,0.2565709974151061,
0.040823069871533495,0.8282860480668631,0.4209101386401036,0.4391936770083277,0.7494016612689008,0.774634354902051,,,0.26562557004701687,
0.04639359800694215,0.8181906222820949,0.40737486134983397,0.42224836502407875,0.7402677046219437,0.7664372797282829,,,0.2750102050920337,
0.05272425476092428,0.8072214246733871,0.39372413620045404,0.404761896104729,0.7303431925165691,0.757407169506938,,,0.2847349017592161,
0.059918763784582614,0.7953225384931272,0.37998124897100977,0.38675515043907904,0.7195775336097846,0.7474842010190917,,,0.2948094236881995,
0.06809500238082968,0.7824385564822677,0.3661707890667172,0.36825659276135075,0.7079205975244416,0.7366088032861308,,,0.305243184798602,
0.07738693284654011,0.7685156000232508,0.3523185456885593,0.3493031830379407,0.6953236369399751,0.7247226667599209,,,0.3160451177412629,
