,right_borders,probs
0,0.0002,0.002371102
1,0.0004,0.0015848653
2,0.00059999997,0.0020149038
3,0.0008,0.0029302852
4,0.0009999999,0.0032748322
5,0.0011999999,0.0032030253
6,0.0014,0.0029923008
7,0.0016,0.0029232125
8,0.0018,0.0030516726
9,0.0019999999,0.0028217318
10,0.0022,0.0020979997
11,0.0023999999,0.0015795182
12,0.0026,0.0012759422
13,0.0028,0.0010872361
14,0.003,0.0009748062
15,0.0032,0.000914912
16,0.0033999998,0.0008885635
17,0.0036,0.0008493883
18,0.0037999998,0.0008079489
19,0.0039999997,0.0007762847
20,0.0042,0.0007469142
21,0.0044,0.0007229494
22,0.0046,0.0007048459
23,0.0047999998,0.00069031963
24,0.005,0.00067627395
25,0.0052,0.0006611183
26,0.0053999997,0.00065028726
27,0.0056,0.00064153416
28,0.0058,0.000633575
29,0.006,0.000758503
30,0.0061999997,0.0019683351
31,0.0064,0.0019538011
32,0.0066,0.00195414
33,0.0067999996,0.0019578699
34,0.0069999998,0.0019621006
35,0.0072,0.0019769447
36,0.0074,0.0019796707
37,0.0075999997,0.0019515951
38,0.0078,0.0019245292
39,0.007999999,0.0019030148
40,0.0082,0.0018857776
41,0.0084,0.0018768968
42,0.008599999,0.0018836596
43,0.0088,0.000231213
44,0.009,0.00020624891
45,0.0092,0.00020669214
46,0.0094,0.00020707748
47,0.0095999995,0.00020741015
48,0.0098,0.00020787065
49,0.01,0.00020838852
50,0.010199999,0.00015736937
51,0.0104,0.00015751757
52,0.0106,0.00015767888
53,0.010799999,0.00015773135
54,0.011,0.00015795307
55,0.0112,0.00015806407
56,0.011399999,0.00015830115
57,0.0116,0.0001584679
58,0.0117999995,0.00015866093
59,0.012,0.00015903189
60,0.0122,0.00015928959
61,0.012399999,0.00015949848
62,0.0126,0.00016001193
63,0.0128,0.00016024157
64,0.012999999,0.00016069546
65,0.0132,0.00016119894
66,0.0134,0.00016159478
67,0.013599999,0.00016217992
68,0.0138,0.00016269597
69,0.0139999995,0.00012276627
70,0.0142,0.00011119232
71,0.0144,0.00011129703
72,0.014599999,0.00011140407
73,0.0148,0.000111495756
74,0.015,0.000111559995
75,0.015199999,0.00011158851
76,0.0154,0.00011169455
77,0.0156,0.00011177687
78,0.0158,0.000111852685
79,0.015999999,0.000111950816
80,0.0162,0.00011206297
81,0.0164,0.00011213632
82,0.0166,0.00011221687
83,0.0168,0.0001123053
84,0.016999999,0.00011242467
85,0.017199999,0.000112504415
86,0.0174,0.0001126137
87,0.0176,0.00011271072
88,0.0178,0.00019875239
89,0.018,0.00026704054
90,0.018199999,0.0002696182
91,0.0184,0.00027200245
92,0.0186,0.00027471138
93,0.0188,0.00027757205
94,0.019,0.0002798923
95,0.019199999,0.00028207968
96,0.019399999,0.00028427824
97,0.0196,0.0002864469
98,0.0198,0.00028787742
99,0.02,0.00028821387
100,0.0202,0.00028829454
101,0.020399999,0.0002891511
102,0.0206,0.00011996671
103,0.0208,0.000114996554
104,0.021,0.000114951166
105,0.0212,6.9966314e-05
106,0.021399999,6.991176e-05
107,0.021599999,6.981173e-05
108,0.0218,6.974674e-05
109,0.022,6.978986e-05
110,0.0222,7.3248906e-05
111,0.0224,7.319734e-05
112,0.022599999,7.3073505e-05
113,0.022799999,7.300037e-05
114,0.023,7.2937735e-05
115,0.0232,7.286282e-05
116,0.0234,7.2728384e-05
117,0.023599999,7.2676696e-05
118,0.023799999,7.2659095e-05
119,0.024,7.2481685e-05
120,0.0242,7.246609e-05
121,0.0244,7.234981e-05
122,0.0246,7.230097e-05
123,0.024799999,7.2214076e-05
124,0.024999999,7.2184775e-05
125,0.0252,7.2072275e-05
126,0.0254,7.2061215e-05
127,0.0256,7.188186e-05
