right_borders,probs
0.0002,0.024762157
0.0004,3.8728707e-05
0.00059999997,0.00019323271
0.0008,0.003062256
0.0009999999,0.002036487
0.0011999999,0.0013458438
0.0014,0.0017946039
0.0016,0.0026626473
0.0018,0.0017694774
0.0019999999,0.0011164106
0.0022,0.0008352642
0.0023999999,0.00080166024
0.0026,0.0011072251
0.0028,0.0014907117
0.003,0.0011959462
0.0032,0.0011162492
0.0033999998,0.0009874761
0.0036,0.00091093406
0.0037999998,0.0014109947
0.0039999997,0.0014863664
0.0042,0.001270063
0.0044,0.0014071473
0.0046,0.0013840856
0.0047999998,0.0010941768
0.005,0.0010139638
0.0052,0.00076194433
0.0053999997,0.0007720122
0.0056,0.0009246088
0.0058,0.0009380199
0.006,0.0013079369
0.0061999997,0.0017932446
0.0064,0.0014299509
0.0066,0.0014042362
0.0067999996,0.0014462301
0.0069999998,0.0010126125
0.0072,0.0007840459
0.0074,0.0005897634
0.0075999997,0.0004926837
0.0078,0.00039378254
0.007999999,0.00032619998
0.0082,0.00027864255
0.0084,0.00024108546
0.008599999,0.00019669169
0.0088,0.00016197989
0.009,0.0001346758
0.0092,0.00011102307
0.0094,9.206927e-05
0.0095999995,7.708383e-05
0.0098,6.466242e-05
0.01,5.4297358e-05
0.010199999,0.00028531256
0.0104,0.0029031262
0.0106,0.00080305093
0.010799999,0.00020613965
0.011,8.3276005e-05
0.0112,4.819815e-05
0.011399999,3.380724e-05
0.0116,2.6424766e-05
0.0117999995,2.184269e-05
0.012,1.877863e-05
0.0122,1.657747e-05
0.012399999,1.48929785e-05
0.0126,1.3535559e-05
0.0128,1.2437274e-05
0.012999999,1.1529856e-05
0.0132,1.0722856e-05
0.0134,1.0029233e-05
0.013599999,9.414281e-06
0.0138,8.870929e-06
0.0139999995,8.392638e-06
0.0142,7.967205e-06
0.0144,7.5527146e-06
0.014599999,7.1615427e-06
0.0148,6.8440463e-06
0.015,6.557321e-06
0.015199999,6.2958325e-06
0.0154,6.006981e-06
0.0156,5.776053e-06
0.0158,5.5687683e-06
0.015999999,5.35888e-06
0.0162,5.1179777e-06
0.0164,4.950405e-06
0.0166,4.79575e-06
0.0168,4.6217674e-06
0.016999999,4.456442e-06
0.017199999,4.327904e-06
0.0174,4.18904e-06
0.0176,4.0612526e-06
0.0178,3.947654e-06
0.018,3.8172316e-06
0.018199999,3.7156465e-06
0.0184,3.6360107e-06
0.0186,3.5014357e-06
0.0188,3.4286234e-06
0.019,3.3501578e-06
0.019199999,3.2442833e-06
0.019399999,3.1769669e-06
0.0196,3.0898088e-06
0.0198,3.0131287e-06
0.02,2.9430487e-06
0.0202,2.8739028e-06
0.020399999,3.2203657e-06
0.0206,3.7913453e-06
0.0208,4.1346684e-06
0.021,4.245457e-06
0.0212,0.00011859362
0.021399999,0.004724492
0.021599999,0.0011370035
0.0218,0.0035310127
0.022,0.0004282191
0.0222,0.002727245
0.0224,0.00065345044
0.022599999,0.0027973887
0.022799999,0.0012162843
0.023,0.0011048592
0.0232,0.00031151687
0.0234,0.0002494291
0.023599999,0.00010602192
0.023799999,9.7354256e-05
0.024,5.913933e-05
0.0242,5.548219e-05
0.0244,3.9169725e-05
0.0246,3.6643272e-05
0.024799999,2.8675635e-05
0.024999999,2.6686097e-05
0.0252,2.253429e-05
0.0254,2.0640187e-05
0.0256,1.8500123e-05
0.025799999,1.6659997e-05
0.025999999,1.5588741e-05
0.0262,1.3831196e-05
0.0264,1.3152059e-05
0.0266,1.2068802e-05
0.0268,1.1319806e-05
0.026999999,1.07728765e-05
0.027199998,9.886841e-06
0.0274,9.732019e-06
0.0276,8.7807e-06
0.0278,8.730109e-06
0.027999999,7.992175e-06
0.028199999,7.819114e-06
0.0284,7.3915317e-06
0.0286,7.050359e-06
0.0288,6.8374966e-06
0.029,6.427205e-06
0.029199999,6.2662652e-06
0.029399998,6.011875e-06
0.0296,5.7691545e-06
0.0298,5.5297014e-06
0.03,4.8560914e-06
0.030199999,4.4246763e-06
0.030399999,4.1983103e-06
0.030599998,3.910144e-06
0.0308,3.7928353e-06
0.031,3.6245892e-06
0.0312,5.5409797e-05
0.0314,0.011960906
0.0316,0.00019084384
0.031799998,0.0010086988
0.031999998,0.0021972288
0.032199997,0.00024330907
0.0324,0.0025986463
0.0326,0.0005364707
0.0328,0.00040073282
0.033,0.0026904698
0.0332,0.0005530685
0.0334,0.0006944059
0.0336,0.0012313365
0.0338,0.00036246443
0.033999998,0.00036339587
0.034199998,0.0006725193
0.034399997,0.00023572036
0.0346,0.0001656302
0.0348,0.0002897101
0.035,0.00012355989
0.0352,0.000111414294
0.0354,0.00016177504
0.0356,8.166443e-05
0.0358,8.0614474e-05
0.036,0.000100285775
0.036199998,5.874926e-05
0.036399998,5.939271e-05
0.036599997,6.491779e-05
0.0368,4.690569e-05
0.037,4.5364894e-05
0.0372,4.5744942e-05
0.0374,3.90344e-05
0.0376,3.55919e-05
0.0378,3.4291355e-05
0.038,3.2594002e-05
0.0382,2.8115743e-05
0.038399998,2.7297503e-05
0.038599998,2.7411063e-05
0.038799997,2.3509332e-05
0.039,2.235025e-05
0.0392,2.22949e-05
0.0394,2.0605848e-05
0.0396,1.8819792e-05
0.0398,1.8743274e-05
0.04,1.8372826e-05
0.0402,0.00046825423
0.0404,0.003724362
0.040599998,0.00092510885
0.040799998,0.00013269253
0.040999997,0.0001275114
0.0412,0.00016957807
0.0414,0.0001285528
0.0416,7.559917e-05
0.0418,4.284928e-05
0.042,3.0000609e-05
0.0422,0.004164444
0.0424,0.0041067335
0.0426,0.00090889086
0.042799998,0.00047608535
0.042999998,0.0002814967
0.043199997,0.006144942
0.043399997,0.00020292422
0.0436,0.00013344876
0.0438,8.9381945e-05
0.044,8.251926e-05
0.0442,9.435525e-05
0.0444,7.8429264e-05
0.0446,6.916119e-05
0.0448,8.11053e-05
0.044999998,9.696883e-05
0.045199998,7.109665e-05
0.045399997,7.761614e-05
0.045599997,9.386597e-05
0.0458,0.00011092348
0.046,7.931321e-05
0.0462,8.872029e-05
0.0464,0.00012515883
0.0466,0.00014987051
0.0468,9.255386e-05
0.047,0.00012794242
0.047199998,0.00015270193
0.047399998,0.00026933503
0.047599997,0.00012833059
0.047799997,0.00016093653
0.048,0.0002924809
0.0482,0.0004018785
0.0484,0.00021341223
0.0486,0.00020369202
0.0488,0.00049151917
0.049,0.00090348406
0.0492,0.000269468
0.049399998,0.0005190019
0.049599998,0.011121213
0.049799997,5.584614e-05
0.049999997,1.5036103e-05
0.0502,1.2759515e-05
0.0504,1.1924567e-05
0.0506,1.1675049e-05
0.0508,1.1379272e-05
0.051,1.1237876e-05
0.0512,1.1186006e-05
0.0514,1.1322883e-05
0.051599998,1.1456288e-05
0.051799998,1.1239237e-05
0.051999997,1.1107693e-05
0.052199997,1.8142728e-05
0.0524,3.9804243e-05
0.0526,6.82075e-05
0.0528,9.07953e-05
0.053,0.00020137616
0.0532,0.00031824101
0.0534,0.00070804043
0.0536,0.0001467494
0.053799998,0.00038852138
0.053999998,0.00020534529
0.054199997,0.00030097715
0.054399997,0.00015699636
0.0546,0.00013737698
0.0548,0.00014503418
0.055,0.00016362737
0.0552,0.00019522244
0.0554,0.00015211191
0.0556,0.00013098348
0.0558,0.00013514252
0.055999998,0.00025119117
0.056199998,0.00028332678
0.056399997,0.0001726531
0.056599997,0.00017935893
0.0568,0.00038718904
0.057,0.00060981885
0.0572,0.0069481404
0.0574,0.0030738513
0.0576,0.00209451
0.0578,0.00014441689
0.058,6.0375376e-05
0.058199998,4.0557312e-05
0.058399998,2.788487e-05
0.058599997,2.4135612e-05
0.058799997,2.0587247e-05
0.059,1.8259583e-05
0.0592,1.7107464e-05
0.0594,1.5776497e-05
0.0596,1.5181547e-05
0.0598,1.435071e-05
0.06,1.39380545e-05
0.0602,1.1083185e-05
0.060399998,1.0086111e-05
0.060599998,9.806403e-06
0.060799997,9.311382e-06
0.060999997,9.017341e-06
0.061199997,8.809226e-06
0.0614,8.201413e-06
0.0616,8.075502e-06
0.0618,7.852457e-06
0.062,7.670636e-06
0.0622,7.6173974e-06
0.0624,7.133228e-06
0.0626,7.154682e-06
0.0628,6.972806e-06
0.063,6.8377058e-06
0.0632,6.851047e-06
0.0634,6.547935e-06
0.063599996,6.444961e-06
0.0638,6.3832604e-06
0.063999996,6.3062516e-06
0.0642,6.2358026e-06
0.064399995,6.1385635e-06
0.0646,5.934552e-06
0.0648,5.9436934e-06
0.065,5.8268033e-06
0.0652,5.8067444e-06
0.0654,5.809553e-06
0.0656,5.602268e-06
0.065799996,5.5011187e-06
0.066,5.5084165e-06
0.066199996,5.472518e-06
0.0664,5.408121e-06
0.066599995,5.3703147e-06
0.0668,8.3938785e-06
0.067,0.00010835746
0.0672,0.0021782292
0.0674,0.0027155594
0.0676,0.005170621
0.0678,0.00040952177
