,Concentration,Survival_A,Survival_B,SAM,Stress_A,Stress_B,exp_name,path
0,1e-05,94.28498275839851,70.25691345272925,69.32344865135255,0.011471478762348906,0.12092977180538533,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
1,1.0012672787167996e-05,94.2849817729086,70.25636688626285,69.32268126042244,0.011476333915986502,0.12095574512862958,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
2,1.0025361634289452e-05,94.2849807860915,70.25581997248467,69.32191353382491,0.01148119113695617,0.1209817243688441,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
3,1.0038066561716785e-05,94.28497979794527,70.25527271117716,69.32114547131634,0.011486050426728057,0.12100770952750318,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
4,1.0050787589828267e-05,94.28497880846827,70.2547251021225,69.320377072818,0.01149091178573065,0.12103370060608491,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
5,1.0063524739027929e-05,94.28497781765874,70.25417714510289,69.31960833823628,0.011495775214485419,0.12105969760606491,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
6,1.0076278029745685e-05,94.2849768255148,70.25362883990037,69.31883926732517,0.011500640714478665,0.1210857005289174,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
7,1.0089047482437337e-05,94.2849758320346,70.25308018629669,69.31806985991368,0.011505508286721691,0.12111170937612573,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
8,1.010183311758461e-05,94.28497483721654,70.25253118407359,69.31730011598646,0.011510377931240802,0.12113772414916767,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
9,1.0114634955695165e-05,94.2849738410586,70.25198183301282,69.31653003523026,0.01151524964994731,0.12116374484951367,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
10,1.0127453017302715e-05,94.28497284355906,70.2514321328957,69.31575961756049,0.011520123443305896,0.12118977147865036,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
11,1.014028732296693e-05,94.28497184471611,70.25088208350367,69.31498886282948,0.011524999312179965,0.12121580403805207,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
12,1.0153137893273559e-05,94.28497084452803,70.25033168461805,69.3142177709397,0.011529877257115398,0.12124184252919293,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
13,1.0166004748834435e-05,94.28496984299282,70.24978093601972,69.31344634159392,0.01153475727992242,0.12126788695356167,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
14,1.0178887910287495e-05,94.28496884010885,70.24922983748966,69.31267457477885,0.011539639380613708,0.12129393731263517,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
15,1.0191787398296892e-05,94.28496783587421,70.24867838880867,69.3119024702815,0.011544523560465897,0.12131999360789675,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
16,1.0204703233552898e-05,94.28496683028717,70.24812658975755,69.31113002801945,0.01154940981992928,0.12134605584082046,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
17,1.0217635436772035e-05,94.28496582334573,70.24757444011676,69.31035724768707,0.011554298160866536,0.1213721240128909,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
18,1.0230584028697074e-05,94.28496481504826,70.24702193966665,69.30958412927777,0.011559188583247644,0.12139819812559383,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
19,1.0243549030097071e-05,94.28496380539283,70.24646908818771,69.30881067259408,0.011564081088251306,0.12142427818040091,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
20,1.0256530461767385e-05,94.28496279437753,70.24591588545982,69.30803687737622,0.011568975677448915,0.12145036417880666,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
21,1.026952834452979e-05,94.28496178200079,70.24536233126317,69.3072627436868,0.011573872350373583,0.12147645612228507,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
22,1.0282542699232383e-05,94.2849607682605,70.24480842537757,69.30648827117373,0.011578771109181091,0.1215025540123237,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
23,1.0295573546749703e-05,94.28495975315501,70.24425416758274,69.3057134598069,0.011583671953990503,0.1215286578504071,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
24,1.0308620907982742e-05,94.28495873668238,70.24369955765827,69.30493830937401,0.011588574886072985,0.12155476763801881,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
25,1.0321684803858984e-05,94.28495771884079,70.24314459538381,69.30416281972865,0.011593479906283437,0.1215808833766372,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
26,1.0334765255332407e-05,94.2849566996284,70.24258928053854,69.30338699071818,0.011598387015515767,0.12160700506775406,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
27,1.034786228338361e-05,94.28495567904332,70.24203361290172,69.30261082216789,0.011603296214803348,0.1216331327128512,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
28,1.0360975909019714e-05,94.2849546570838,70.24147759225234,69.3018343139765,0.011608207504714979,0.121659266313419,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
29,1.0374106153274489e-05,94.28495363374796,70.24092121836951,69.30105746598088,0.011613120886211022,0.12168540587093636,Food_1% + Temp_25,data/naeem_Esfenvalerate_2024.xlsx
