,Concentration,Survival_A,Survival_B,SAM,Stress_A,Stress_B,exp_name,path
0,0.01,95.95847613757685,89.99865762245695,89.17113321952137,0.010270705618921815,0.009169126613736266,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
1,0.010012620756513697,95.95847527983331,89.99865694967887,89.17069169570601,0.010275986512161026,0.009174780632881031,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
2,0.010025257441376898,95.95847442068536,89.99865627557881,89.17024992731278,0.010281270135388468,0.00918043815528971,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
3,0.010037910074692373,95.95847356013068,89.99865560015411,89.16980791416333,0.010286556490434471,0.009186099183658673,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
4,0.010050578676588285,95.95847269816699,89.99865492340221,89.16936565613585,0.010291845578451891,0.009191763719720929,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
5,0.010063263267218183,95.95847183479198,89.9986542453205,89.16892315309398,0.010297137400768255,0.009197431765838354,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
6,0.010075963866761068,95.95847097000332,89.99865356590632,89.16848040486495,0.01030243195914551,0.009203103324330582,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
7,0.010088680495421387,95.95847010379873,89.99865288515711,89.16803741133786,0.010307729254605488,0.009208778397142245,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
8,0.010101413173429113,95.95846923617584,89.99865220307021,89.16759417233278,0.01031302928899502,0.00921445698684297,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
9,0.010114161921039722,95.95846836713241,89.998651519643,89.16715068774245,0.010318332063292093,0.00922013909529482,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
10,0.010126926758534282,95.95846749666603,89.99865083487288,89.16670695739064,0.010323637579297981,0.009225824724651851,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
11,0.010139707706219433,95.95846662477442,89.99865014875714,89.16626298114119,0.010328945838336132,0.009231513877523672,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
12,0.010152504784427464,95.95846575145525,89.9986494612932,89.165818758865,0.010334256841643312,0.009237206555732052,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
13,0.010165318013516304,95.95846487670612,89.99864877247838,89.16537429037534,0.010339570591146218,0.009242902761719867,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
14,0.010178147413869599,95.95846400052476,89.99864808231001,89.16492957557396,0.01034488708771318,0.009248602497639783,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
15,0.010190993005896695,95.9584631229088,89.9986473907855,89.16448461428863,0.0103502063330961,0.009254305765520828,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
16,0.010203854810032722,95.95846224385586,89.9986466979021,89.16403940637066,0.01035552832876516,0.009260012567680356,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
17,0.010216732846738574,95.95846136336364,89.9986460036572,89.16359395168946,0.010360853075974733,0.00926572290647564,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
18,0.010229627136500998,95.95846048142977,89.99864530804808,89.1631482500946,0.010366180576214806,0.009271436784057481,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
19,0.010242537699832566,95.95845959805187,89.99864461107211,89.16270230143219,0.010371510831016877,0.009277154202453416,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
20,0.010255464557271768,95.95845871322757,89.99864391272655,89.16225610555558,0.010376843841825347,0.009282875164141082,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
21,0.010268407729382985,95.95845782695454,89.99864321300876,89.1618096623361,0.010382179609869762,0.00928859967106483,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
22,0.010281367236756581,95.95845693923036,89.998642511916,89.1613629715986,0.010387518136934365,0.009294327725699787,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
23,0.010294343100008882,95.9584560500527,89.99864180944557,89.1609160332288,0.010392859424075753,0.009300059330233498,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
24,0.010307335339782253,95.95845515941916,89.99864110559483,89.16046884705531,0.010398203473032467,0.009305794486649152,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
25,0.010320343976745095,95.95845426732733,89.99864040036097,89.16002141293009,0.01040355028526389,0.009311533197539398,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
26,0.010333369031591912,95.95845337377486,89.99863969374134,89.15957373073363,0.01040889986188802,0.009317275464641605,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
27,0.0103464105250433,95.95845247875936,89.99863898573321,89.15912580030017,0.010414252204574797,0.009323021290545243,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
28,0.010359468477846039,95.9584515822784,89.99863827633384,89.1586776214766,0.010419607314843343,0.00932877067739129,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
29,0.01037254291077306,95.9584506843296,89.99863756554048,89.1582291941223,0.01042496519406277,0.009334523627360062,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
30,0.01038563384462354,95.95844978491057,89.99863685335039,89.1577805180878,0.01043032584370684,0.009340280142913004,Temp_24,data/ayesha-cloth_Clothianidin_2024_reference.xlsx
