,Concentration,Survival_A,Survival_B,SAM,Stress_A,Stress_B,exp_name,path
173,1.2449562847668144e-05,94.28479091548124,79.9884413803323,78.4362296275248,0.012342950627639243,0.028872217233129358,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
174,1.246533991369845e-05,94.28478967162394,79.98842755512877,78.4355508859219,0.012348177056282678,0.028883173857745453,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
175,1.2481136973668754e-05,94.28478842609141,79.98841371339073,78.4348718411029,0.012353405712883394,0.02889413470547599,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
176,1.2496954052916918e-05,94.28478717888146,79.98839985509835,78.43419249297968,0.012358636597984812,0.028905099778048345,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
177,1.2512791176813002e-05,94.28478592999183,79.9883859802319,78.43351284139719,0.012363869712645697,0.02891606907708053,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
178,1.2528648370759135e-05,94.28478467942023,79.98837208877151,78.43283288620772,0.012369105057868358,0.02892704260430602,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
179,1.2544525660189663e-05,94.28478342716441,79.98835818069739,78.43215262726517,0.012374342634642647,0.02893802036137707,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
180,1.2560423070571169e-05,94.284782173222,79.98834425598965,78.43147206437385,0.012379582444339501,0.028949002349970044,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
181,1.2576340627402501e-05,94.28478091759092,79.98833031462843,78.4307911975045,0.01238482448704928,0.028959988571750327,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
182,1.2592278356214805e-05,94.28477966026881,79.98831635659374,78.43011002646452,0.012390068764118821,0.02897097902846321,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
183,1.260823628257165e-05,94.28477840125339,79.98830238186571,78.42942855109713,0.012395315276619625,0.02898197372173799,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
184,1.2624214432068935e-05,94.2847771405424,79.9882883904244,78.42874677128114,0.0124005640253491,0.028992972653234975,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
185,1.264021283033501e-05,94.28477587813343,79.98827438224973,78.42806468680638,0.012405815011789266,0.029003975824729022,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
186,1.265623150303071e-05,94.28477461402434,79.98826035732178,78.42738229760575,0.012411068236320875,0.0290149832378164,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
187,1.2672270475849363e-05,94.28477334821285,79.98824631562053,78.42669960354569,0.012416323699835771,0.029025994894200952,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
188,1.2688329774516933e-05,94.28477208069661,79.98823225712579,78.42601660443783,0.01242158140364773,0.029037010795644944,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
189,1.2704409424791913e-05,94.28477081147318,79.98821818181764,78.42533330006742,0.012426841349273698,0.029048030943732466,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
190,1.272050945246546e-05,94.28476954054054,79.98820408967586,78.42464969045231,0.012432103536440059,0.029059055340224363,Food_1%,data/naeem_Esfenvalerate_2024.xlsx
